RegionID,SizeRank,RegionName,RegionType,StateName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20
102001,0,United States,Country,,106657,106684,106734,106859,107001,107170,107336,107546,107761,108017,108266,108537,108721,108953,109204,109529,109857,110166,110499,110794,111107,111385,111736,112122,112695,113224,113732,114075,114447,114828,115238,115701,116223,116782,117263,117690,118058,118532,119058,119679,120273,120946,121631,122255,122814,123369,124034,124731,125454,126169,126888,127623,128358,129071,129782,130537,131331,132132,132951,133802,134643,135426,136201,136988,137783,138552,139303,140065,140833,141615,142367,143104,143840,144609,145396,146180,146975,147812,148692,149591,150483,151402,152353,153337,154305,155257,156193,157134,158083,159007,159940,160933,162017,163152,164287,165418,166618,167921,169307,170699,172171,173715,175350,176959,178561,180147,181754,183436,185163,186894,188594,190377,192176,194054,195952,197873,199790,201602,203335,204898,206294,207561,208795,209965,211042,211935,212631,213153,213470,213697,213841,213922,213988,214004,213965,213833,213521,213061,212445,211853,211148,210358,209382,208356,207159,205732,204117,202372,200669,198949,197241,195396,193628,191850,190019,188121,186277,184730,183240,181790,180369,179151,178209,177424,176749,176223,176007,175910,175846,175648,175500,175465,175385,175103,174418,173599,172654,171725,170692,169723,168756,167842,166880,165851,164824,163936,163322,162875,162543,162179,161856,161542,161333,161204,161278,161513,161900,162312,162775,163294,163889,164580,165376,166245,167216,168239,169367,170540,171778,173071,174399,175730,177021,178243,179344,180363,181316,182235,182962,183560,184100,184697,185284,185795,186296,186883,187596,188345,189063,189802,190662,191555,192459,193263,194061,194911,195793,196654,197433,198291,199226,200185,201035,201920,202820,203798,204797,205810,206829,207856,208953,210022,211071,212094,213194,214355,215510,216671,217778,218911,220091,221334,222612,223871,225073,226306,227536,228775,229958,231083,232175,233218,234202,235124,236023,236908,237771,238524,239158,239747,240370,241073,241819,242588,243385,244203,245016,245862,246767,247761,248857
394913,1,"New York, NY",Msa,NY,188793,188352,188071,187536,187216,186925,186746,186654,186699,186823,186948,187094,187370,187983,188702,189376,189875,190500,191125,191750,192267,192778,193502,194329,195232,195836,196307,196728,197265,197847,198421,199223,200225,201452,202544,203696,204652,205832,207087,208697,210451,212296,214378,216214,218018,219620,221468,223381,225442,227684,230102,232508,234814,237128,239492,241881,244283,246668,249102,251486,253860,256344,258786,261343,263835,266379,268767,271178,273648,276438,279236,282035,284871,287568,290159,292771,295510,298507,301618,305307,309223,313151,316904,320818,324708,328706,332900,336893,340764,344364,348030,351405,354467,357376,360458,363635,367224,370801,374538,378084,382035,386178,390729,395262,400024,404819,409672,414228,418608,422766,426947,431764,436636,441455,445938,450605,455475,460486,465158,469797,473748,477528,480158,482389,484132,486064,487398,487784,487344,485957,484423,482646,481051,479718,479457,478875,478422,476724,475064,473363,471618,470470,469167,467713,466274,464406,461907,459251,455610,452479,449129,446364,443405,440051,436492,433061,429193,425337,421693,418247,415620,412745,410226,407555,405763,404634,404168,403937,403855,403919,403448,403236,402795,403210,403475,403599,402987,401773,400203,398307,396917,395629,394872,393451,391900,389710,387831,386148,384720,383411,381949,380723,379353,378008,376730,375797,375253,375062,374889,374800,374767,374870,375381,376109,376827,377714,378630,380075,381655,383279,385016,386754,388631,390660,392627,394355,396255,397924,399771,401043,402262,403284,404188,405118,405952,406701,407156,407936,408732,409892,410628,411606,412409,413517,414450,415326,416240,417191,418648,419787,420556,421177,422015,423330,424396,425443,426557,427874,429247,430718,432148,433770,435705,437341,439127,440382,442630,444909,447718,450211,452539,454572,456340,458042,460085,462501,464979,467422,469294,470963,472009,473223,474787,476695,478550,479810,480381,480621,480844,481193,481502,481860,482357,482795,482986,482982,483083,483578,484310,485120,485812
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,185661,185920,185940,186049,186022,186049,186150,186102,185987,185890,185869,185993,185663,185094,184762,184965,185490,185969,186592,187492,188507,189482,190391,191416,193115,195222,197189,198650,200013,201309,202326,203676,205361,207245,209067,210520,212261,213800,215461,216926,218407,220440,222632,224135,225269,226578,228500,230500,232192,233878,235811,238037,240361,242516,244639,246999,249356,251597,253710,255992,258181,260502,262690,265210,267485,269749,271716,273856,276144,278829,281345,284047,286814,289955,293274,296808,300367,304497,309279,314353,319300,324285,329747,335233,340231,344715,349240,353670,358523,362688,367985,373901,380732,386865,393935,401023,409482,418075,427230,437149,448313,459912,469783,478032,486170,494511,501558,508594,515147,523087,530974,538651,544948,551271,559496,568440,578066,587126,594593,601605,607418,612573,617062,620959,625562,628783,630081,631257,629637,629002,627668,627588,626889,625681,623851,622462,619601,616923,611940,605580,597275,588722,582139,574879,567418,556771,545258,531223,517225,505027,494479,485161,478014,470494,461558,450085,441684,437294,434043,430798,427944,425327,424145,424173,425165,426584,429193,433199,434311,432841,432571,434598,438313,437682,435494,431958,429138,426129,421964,419176,417767,417364,415291,412343,407180,405780,404724,403787,401027,398342,397963,397004,395801,394199,393477,393498,395121,396744,399410,402199,406064,411156,415392,420966,426407,434817,443811,453816,462540,471053,478547,487337,495086,501050,506165,509727,513896,514734,515192,514677,515170,515664,517232,517001,517498,518146,521019,523632,527061,531080,535273,537643,540182,542754,545465,548593,551853,555748,558399,562968,565455,568752,570551,574658,578207,581394,584142,587747,591675,595488,598315,600075,603675,606324,609943,612128,615791,619535,622939,625854,628759,631900,637061,642304,646795,651214,655615,659763,661773,663684,665372,666531,666571,667418,668411,668538,668077,666095,664473,663366,663753,664466,665762,667739,670820,673547,675828,679358,683899,690429,697203
394463,3,"Chicago, IL",Msa,IL,161371,161075,160684,160239,159644,159322,158852,159412,160218,161854,163144,164098,164379,164329,164488,164349,164518,164259,163960,161593,158686,154448,151174,148814,147955,147851,147792,147775,147716,147643,147968,149371,151405,154064,156329,158054,158851,159317,159796,160451,161007,161944,162941,163898,164522,165234,166112,167052,168241,169461,170702,171806,172898,173952,174970,176109,177357,178611,179908,181253,182563,183675,184809,186019,187397,188688,189835,190954,192126,193444,194729,195896,196921,198026,199296,200384,201547,202674,204114,205475,206775,207988,209044,210310,211550,212967,214212,215594,216727,217760,218713,219891,221278,222618,223992,225187,226637,227948,229299,230721,232256,234064,235736,237395,238791,240305,241972,243797,245435,247124,248780,250592,252400,254319,256206,258001,259978,261920,263680,265272,266674,268135,269333,270573,271601,272465,273068,273735,274204,274601,274792,275150,275688,276426,276197,275949,274771,274389,273269,272791,271662,270975,270124,269139,268246,265477,264732,261630,260898,257438,256084,252777,251018,247840,245292,241498,237511,234545,231248,229220,226247,224208,222407,221004,219001,217457,216013,215878,215263,215110,213437,213231,211658,211625,208875,207487,205239,204091,201697,199718,197700,196147,194773,192539,191158,188967,188593,187295,186700,184487,183498,181712,180807,178836,178475,177926,177934,177337,176476,175734,175111,175571,176272,177008,177957,179180,179999,181217,182131,183891,185537,187783,189688,191858,192966,194397,195172,196438,196985,197188,197661,198579,199550,200021,200683,201021,201709,202153,202592,202714,203361,204467,205458,205667,205867,206130,206511,206800,207184,207803,208544,209770,210743,211522,212101,212934,214044,215063,215889,216688,217702,218822,220104,221160,222480,223621,224632,225280,225766,226495,227398,228585,229685,230908,232077,232910,233325,233731,234329,235236,235938,236628,237360,237980,238574,238868,238952,239194,239447,239833,240118,240345,240700,240918,241025,241055,241078,241212,241466,241759,242168
394514,4,"Dallas-Fort Worth, TX",Msa,TX,111730,111794,111953,112273,112617,112865,113042,113262,113484,113820,114148,114478,114537,114629,114656,114823,114917,115111,115340,115592,115887,116225,116508,116863,117315,117763,118125,118234,118457,118705,119092,119441,119803,119726,119726,119638,120226,120998,121985,122936,123741,124577,125326,125846,126185,126869,127701,128501,128813,129142,129387,129629,129808,129980,130168,130465,130912,131368,131772,132159,132398,132226,132046,131949,132131,132151,132223,132436,132658,132809,132850,132996,133204,133627,133988,134480,134934,135633,136331,136930,137414,137851,138357,138894,139139,139156,138941,138858,138942,139190,139438,139669,139970,140391,140820,141141,141871,143224,145200,146787,147672,148011,148322,148789,149235,149726,150138,150641,151390,151630,151628,151435,151658,152082,152505,152922,153281,153227,153369,153351,153603,154077,154520,154972,155360,155787,156050,156125,156243,156879,157284,157717,157711,157646,157618,157760,157992,158169,158325,158691,159210,159540,159667,159681,159022,158004,156732,155874,155158,154641,154326,153857,153067,152109,151211,150538,150404,150730,151161,151246,151198,150965,150888,150784,150932,151087,151656,151966,152011,151781,151553,151680,151580,151535,150834,150122,149184,148496,147616,147139,146804,146252,145644,144731,144192,143545,143377,143381,143609,143684,143584,143261,143090,143526,144076,144691,145074,145581,146172,146695,147163,147588,148221,148936,149812,150434,151245,152114,153170,154230,155371,156499,157798,159096,160394,161556,162466,163460,164294,165138,165932,166891,167599,168624,169527,170763,171934,173224,174737,176187,177848,179460,181145,182807,184559,186080,187519,188864,190369,192036,193591,195155,196667,198367,200208,201959,203910,205584,207312,208933,210741,212593,214229,215935,217406,219117,220729,222398,223839,225283,226970,228835,230596,232083,233461,235086,236859,238496,239855,241243,242471,243661,244408,245421,246452,247867,249106,249883,250227,250402,250875,251372,251982,252629,253431,253908,254320,254507,254891,255442,256264
394974,5,"Philadelphia, PA",Msa,PA,120533,120378,120238,119995,119831,119736,119692,119669,119711,119797,119926,120032,120162,120330,120558,120809,121058,121292,121494,121651,121763,121847,121971,122147,122340,122537,122724,122870,122943,122992,123069,123313,123597,123940,124136,124339,124508,124752,125047,125407,125812,126225,126693,127068,127428,127751,128305,128980,129734,130466,131068,131675,132235,132836,133358,133866,134418,135056,135643,136249,136868,137597,138398,139180,139954,140707,141547,142372,143229,144067,145067,145952,146930,147878,149024,150206,151382,152608,153824,155281,156838,158535,160092,161825,163481,165224,166809,168493,170184,171876,173589,175253,177046,178849,180785,182502,184250,186074,188123,190229,192437,194764,197275,199939,202430,204665,206797,209222,211967,214430,216690,218817,221260,223888,226577,229238,231872,234619,237232,239707,241697,243564,245154,246799,248136,249374,250330,251117,251698,252047,252234,252254,252355,252407,252670,252713,253090,253212,253412,253138,252871,252648,252425,252075,251386,250916,250247,249627,248343,246913,245316,243933,242569,241067,239590,238150,236831,235653,234717,233858,232928,231981,231084,230503,230132,230194,230443,230581,230678,230350,229920,229519,229504,229608,229367,228529,227280,225725,224018,222519,221260,220330,219211,217768,216043,214384,213115,212254,211453,210711,209942,209300,208436,207541,206925,206658,206393,205903,205318,204913,204742,204672,204703,204733,204967,205181,205512,206004,206772,207690,208603,209352,210111,210739,211341,211716,212160,212626,212855,212633,212536,212617,212867,212827,212771,212870,213136,213535,213766,213966,214348,214936,215277,215352,215463,215843,216213,216347,216384,216349,216470,216744,217002,217418,217890,218733,219435,220131,220706,221433,222152,223057,224046,224842,225408,225919,226652,227390,228011,228713,229495,230573,231542,232476,233178,234163,235445,236843,237921,238746,239496,240203,241034,241722,242591,243238,243936,244371,245051,245674,246530,247246,248090,248886,249527,250056,250456,250965,251483,252053,252280
394692,6,"Houston, TX",Msa,TX,108803,108877,108886,109033,109171,109270,109307,109367,109531,109723,109990,110276,110241,110084,109946,110025,110117,110284,110512,110751,110910,111082,111319,111553,112204,112818,113453,113659,113911,114152,114449,114716,114989,115271,115296,115299,115418,116042,116915,117790,118574,119297,120027,120722,121264,121721,122227,122810,123321,123563,123609,123747,123804,123943,124036,124320,124641,124896,125345,125772,125973,125958,125590,125405,125380,125520,125658,125520,125592,125788,126006,126146,126290,126556,127101,127723,128297,128818,129293,129964,130496,130961,131309,131643,132051,132261,132354,132429,132538,132867,133062,133420,133636,133970,134268,134640,135157,136143,137578,138728,139895,140396,141356,141983,142898,143692,144440,145273,145975,146627,146911,147177,147138,147420,147468,147578,147513,147421,147576,147587,147854,147983,148317,148587,149108,149537,150052,150570,151210,151899,152455,153037,153525,153734,153752,153907,154253,154745,154965,155407,155791,156156,156416,156675,156477,156067,155521,155182,154612,153982,153491,152934,152358,151851,151111,150258,149627,149604,149645,149556,149513,149754,150219,150543,150620,150424,150584,150857,151050,151078,151328,151583,151635,151170,150162,148954,148068,147546,147315,146962,146481,145698,144586,143636,142860,142465,142296,142353,142375,142398,141847,141533,141427,141726,142103,142298,142625,142887,143371,143840,144256,144467,145062,145671,146503,147351,148702,150282,151794,153041,154247,155501,156854,158360,159852,161246,162557,163862,164807,165641,166446,167752,169216,170932,172604,174082,175409,176783,178114,179338,180737,182156,183507,184558,185290,185920,186558,187490,188204,188836,189669,190483,191006,191239,191787,192440,193254,193741,194187,194484,195265,196163,196663,197203,197840,198618,199084,199527,199945,200303,200718,201186,201761,202310,202913,203390,203964,204966,206007,206837,207436,208347,209384,210223,210807,211370,212473,213407,213936,213886,214017,214462,215067,215532,215893,216410,216983,217571,217806,218242,218952
395209,7,"Washington, DC",Msa,DC,178808,178584,178453,178178,178059,177906,177742,177634,177656,177792,177851,177919,177701,177576,177397,177494,177446,177521,177669,177793,177735,177642,177710,177791,178188,178560,179047,179227,179416,179526,179639,179825,180123,180327,180488,180772,181293,182064,182804,183540,184213,184997,185794,186506,187326,188247,189403,190445,191484,192394,193307,194212,195276,196422,197787,199276,200824,202504,204178,206117,207987,209839,211768,213908,216138,218312,220389,222525,224711,226943,229359,231796,234309,236689,239167,241756,244548,247448,250459,253639,256732,259815,262805,265910,268933,272250,275571,278791,281669,284543,287361,290264,293382,297136,301160,305090,308885,313171,317714,322597,327721,333554,340220,347162,354295,360562,366580,372613,379413,385778,392063,398853,406509,414140,421037,427301,433669,440076,445547,450401,454311,458119,461661,463873,465167,465394,465356,464743,462477,459862,457905,456667,455343,453803,452287,451112,449347,446547,443289,439948,437573,434461,430587,425481,420761,415737,410027,403575,396337,389979,383895,378625,373236,368363,363800,359509,354518,349941,345713,342277,340057,338685,337925,337045,336036,335530,335691,336586,337860,338209,338936,339732,341056,341086,340565,339672,339357,338732,337308,335926,334970,335216,334818,334340,333058,332602,331941,331708,331098,330634,330668,330582,330428,330388,331350,332515,333771,335120,336874,338481,339756,341408,343438,345929,348559,350658,352488,354309,356861,359246,361601,364109,367241,369982,372300,373781,375316,376791,377986,378955,379029,379068,379209,379378,379498,379434,379512,379632,379370,379854,380615,381064,381310,381592,382076,382364,382479,382995,383419,384162,384753,384513,384483,385249,387105,388478,389501,390277,391508,392458,393525,394871,396791,399125,400457,401312,401307,402114,403112,404772,406125,407601,409103,409941,410556,411025,412378,413956,415934,417625,419235,420042,420595,420979,421361,422534,424005,425694,426820,427483,428204,428976,429792,430958,432385,433932,435448,436616,437555,438354,439386
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,111565,111698,111838,112090,112309,112623,112939,113206,113318,113432,113594,113798,113708,113694,113701,114041,114341,114575,114788,115018,115273,115452,115628,115848,116625,117267,117821,117835,117967,117811,117731,117789,118410,119156,119731,120097,120158,120277,120411,120767,121176,122054,122847,123545,123634,123756,124055,124464,125009,125646,126456,127307,127996,128602,129195,129787,130551,131316,132252,133265,134311,135397,136610,137890,139357,140800,142451,144189,146110,148114,149966,151654,153224,154772,156186,157682,159168,160813,162495,164334,166048,167769,169491,171697,173925,176299,178633,181046,183288,185293,187160,189049,191209,193514,196096,198369,201027,203559,206281,208794,211753,215022,218537,222293,226176,230315,234427,239007,243395,248238,253170,258201,263505,269134,275614,281960,288223,293855,298984,303635,308481,312672,317347,322481,327261,331017,333183,334768,335777,336044,336736,336602,336424,335478,333881,330951,327555,323567,319668,315677,311625,308083,303378,298705,292448,286448,279671,273578,267415,261782,255623,249008,242117,235050,228505,222586,217198,212149,207079,202394,197876,194265,191179,188737,186530,185093,183827,182384,181432,180730,180554,179901,179195,177845,176645,175202,173905,172050,170448,169096,167639,166300,164953,164067,163120,162306,161501,160964,160565,160547,160668,160800,161042,161057,161353,161718,162588,163847,165092,166611,168210,169897,171244,172710,174615,177157,179892,182993,185846,188381,191015,193737,196645,199356,202737,205929,208920,210906,212919,214138,215792,217244,219178,220658,221986,223523,224372,225569,226494,228251,229593,231212,232482,233974,235059,236416,238077,239620,241525,243120,245023,246594,248174,249802,251460,253502,255540,257297,258650,259971,261542,263204,264757,266135,267262,268736,270168,271532,272751,274525,276283,278168,279015,280188,280937,282520,284333,285952,287780,288980,290487,291542,292611,293217,294718,296116,297520,297207,297287,297647,298266,298834,299229,299731,300291,301129,301695,302142,302791,304389,305619
394347,9,"Atlanta, GA",Msa,GA,120616,120846,121067,121558,122041,122565,123032,123495,123934,124409,124898,125424,125771,126159,126574,127144,127675,128115,128612,129194,129848,130474,131011,131562,132441,133311,134102,134553,135130,135780,136494,137131,137751,138381,139173,139899,140570,141210,141995,142876,143723,144612,145548,146435,147328,148193,149079,149940,150730,151603,152532,153609,154655,155680,156646,157686,158722,159811,160791,161852,162843,163786,164608,165366,166180,166943,167727,168480,169224,169912,170599,171263,171926,172595,173181,173764,174253,174763,175204,175597,175985,176396,176817,177142,177507,177822,178235,178519,178819,179105,179422,179765,180082,180378,180686,181062,181360,181684,182006,182487,182903,183246,183599,184054,184557,185082,185550,186014,186539,187106,187669,188200,188825,189505,190089,190634,191236,191908,192646,193295,194016,194634,195173,195566,195915,196361,196914,197434,197874,198221,198616,199083,199579,200052,200572,200931,201151,201098,200939,200600,200059,199432,198733,198195,197233,196065,194510,193267,192041,190723,189145,187437,185826,184043,181773,178791,175975,173348,171066,168433,165974,163871,162520,161445,160450,159271,158441,158073,157645,157070,156371,156180,156098,155693,154223,152212,149789,147808,145856,144379,142780,141473,139632,137648,135218,133073,131533,130890,130991,131077,130897,130009,129464,128934,129425,130004,130939,131882,132891,133396,133394,133545,134411,135716,137266,138961,140691,142335,144139,146046,147960,150143,152532,154871,156771,158712,160293,161747,162740,163760,164595,165347,166321,167169,168075,168844,169686,170485,171297,172068,172741,173539,174583,175817,176778,177766,178732,179652,180526,181267,182335,183388,184808,186179,187368,188193,188907,189733,190440,191500,192650,194138,195218,196427,197533,198742,200005,201521,203152,204538,206159,207646,209341,210998,212926,214755,216208,217586,219057,220776,222471,224118,225676,227296,228758,229906,230773,231516,232618,233796,235020,235827,236607,237514,238379,239167,239925,240849,241901,243038,244070
